OBJECTID,TYPE_REG,ID_ETABLISSEMENT,NOM,UNITE_LOCALE,COMPLEMENT_LOCALI,STATUT_REG,IMMAT_DT,TYPE_LOCAL,CODE_NOGA,BRANCHE,ACTIVITE_DETAIL,TAILLE,RAISON_SOC_PARENT,ID_ENTREPRISE,TEL_PRINCIPAL,TEL_SECONDAIRE,FAX,EMAIL,SITE_INTERNET,PHYS_RUE,PHYS_NUMRUE,PHYS_NPA,PHYS_LOCALITE,PHYS_COMMUNE,IDPADR,ADRESSE,NUM_IDE,RAISON_SOCIALE,NATURE_JURID,SIEGE_CANTON,SIEGE_PAYS,SOUS_TYPE,E,N
509,Etablissement,1-4XH-2414,Citadel Finance,65405657.0,,En activité,1998-11-04,Bureau/étude/cabinet,663002,Gestion de fonds,,20-49 travailleurs,Citadel Finance SA,1-4XH-2413,41227188989.0,,41227188975.0,pro@citadel.ch,http://www.citadel.ch,Avenue de Champel,75,1206,Genève,Genève,930225005234,Avenue de Champel 75,,Citadel Finance,,,,,2500672.89,1116145.62
515,Etablissement,1-4XH-2439,CAPI  Compagnie auxiliaire pour l'Investissement,41928937.0,,En activité,1978-09-21,Bureau/étude/cabinet,663002,Gestion de fonds,Conseils et gestion industriels,3-5 travailleurs,CAPI SA Compagnie auxiliaire pour l'Investissement,1-4XH-2438,41227373030.0,,41227373050.0,capi@capi.ch,,Rue de la Pélisserie,18,1204,Genève,Genève,930225021151,Rue de la Pélisserie 18,,CAPI  Compagnie auxiliaire pour l'Investissement,,,,,2500224.5,1117578.98
609,Etablissement,1-4XH-3868,NS Partners,41870292.0,,En activité,1978-09-18,Bureau/étude/cabinet,663002,Gestion de fonds,,50-99 travailleurs,NS Partners SA,1-4XH-3867,41229065250.0,,41229065296.0,gva-information@nspgroup.com,https://nspgroup.com,Rue du Mont-Blanc,18,1201,Genève,Genève-Cité,930225019480,Rue du Mont-Blanc 18,,NS Partners,,,,,2500194.97,1118257.73
625,Etablissement,1-4XH-30183,Venture South,72328449.0,,En activité,2008-07-01,Bureau/étude/cabinet,649901,Sociétés d'investissement,,1-2 travailleurs,VENTURE SOUTH INTERNATIONAL SA,1-4XH-30182,41792958412.0,,,contact@venturesouth.net,http://www.venturesouth.net,Chemin de la Scie,4,1290,Versoix,Versoix,131014141640,Chemin de la Scie 4,,Venture South,,,,,2502008.4,1125671.49
656,Etablissement,1-4XH-3226,Arcus Finance,65317126.0,,En activité,1998-07-21,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,Arcus Finance SA,1-4XH-3225,41229098222.0,,,dir@arcus-fin.ch,https://arcus-fin.ch/,Rue Ferdinand-HODLER,23,1207,Genève,Genève-Cité,930225015019,Rue Ferdinand-HODLER 23,,Arcus Finance,,,,,2501009.41,1117196.63
547,Etablissement,1-4XH-29327,PABKAW,72821020.0,,En activité,2009-01-13,Bureau/étude/cabinet,649901,Sociétés d'investissement,,,PABKAW SA,1-4XH-29308,41228099800.0,,41228099850.0,pab@badel.ch,,Rue de Carouge,114,1205,Genève,Genève,930225004544,Rue de Carouge 114,,PABKAW,,,,,2499964.67,1116097.34
592,Etablissement,1-4XH-37731,CPCI,74798647.0,,En activité,2010-08-06,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Compagnie Privée de Conseils et d'Investissements SA,1-4XH-37730,41223188730.0,,41223103254.0,info@cpci.ch,https://cpci.ch,Rue Jean-PETITOT,7,1204,Genève,Genève,930225021698,Rue Jean-PETITOT 7,,CPCI,,,,,2499838.6,1117690.39
677,Etablissement,1-4XH-3374,Perréard Partners Investment,65413286.0,,En activité,1998-11-18,Bureau/étude/cabinet,663002,Gestion de fonds,Gestion des risques de change,6-9 travailleurs,Perréard Partners Investment SA,1-4XH-3355,41229197777.0,,41229197778.0,ppi@perreard.com,http://www.perreard.com,Rue du Fort-Barreau,15,1201,Genève,Genève,930225041206,Rue du Fort-Barreau 15,,Perréard Partners Investment,,,,,2499821.55,1118610.04
706,Etablissement,1-4XH-3551,Prime Partners,65366720.0,,En activité,1998-09-30,Bureau/étude/cabinet,663002,Gestion de fonds,Gestion de fortunes,20-49 travailleurs,Prime Partners SA,1-4XH-2574,41227870680.0,,41227870690.0,client.contact@prime-partners.com,http://www.prime-partners.com,Rue des Alpes,15,1201,Genève,Genève,930225000414,Rue des Alpes 15,,Prime Partners,,,,,2500268.66,1118352.52
708,Etablissement,1-4XH-3562,SARCEM,62000116.0,,En activité,1998-10-06,Bureau/étude/cabinet,649901,Sociétés d'investissement,Participations,,SARCEM SA,1-4XH-3561,41229809295.0,,,r.frachon@swissonline.ch,,Rue du Cardinal-JOURNET,27,1217,Meyrin,Meyrin,930225044012,Rue du Cardinal-JOURNET 27,,SARCEM,,,,,2495343.57,1120189.76
766,Etablissement,1-4XH-4397,Overseas Finance and Trading,41867420.0,,En activité,1978-09-18,Bureau/étude/cabinet,649901,Sociétés d'investissement,,,Overseas Finance and Trading (Geneva) Ltd,1-4XH-4378,41227317530.0,,41227387533.0,,,Rue Guillaume-TELL,10,1201,Genève,Genève,930225041574,Rue Guillaume-TELL 10,,Overseas Finance and Trading,,,,,2500233.84,1118077.64
758,Etablissement,1-4XH-43654,Compass Finance,82050888.0,,En activité,2011-10-07,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Compass Finance SA,1-4XH-43653,,,,info@compassfinance.org,https://compassfinance.org/,Quai du Mont-Blanc,3,1201,Genève,Genève,930225019450,Quai du Mont-Blanc 3,,Compass Finance,,,,,2500390.47,1118141.18
830,Etablissement,1-4XH-40638,SFO PARTNERS,79594739.0,,En activité,2011-03-01,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,SFO PARTNERS SA,1-4XH-40618,41223193969.0,,41223193968.0,info@sfopartners.ch,http://www.sfopartners.ch,Rue Robert-CÉARD,13,1204,Genève,Genève,930225004728,Rue Robert-CÉARD 13,,SFO PARTNERS,,,,,2500447.86,1117651.11
1041,Etablissement,1-4XH-56022,RUBICON ASSET MANAGEMENT,90914914.0,,En activité,2015-04-02,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,RUBICON ASSET MANAGEMENT SA,1-4XH-56021,41228080930.0,,41228080929.0,rb@rubicon-am.com,https://rubicon-am.com,Rue du Général-DUFOUR,15,1204,Genève,Genève-Cité,930225012289,Rue du Général-DUFOUR 15,,RUBICON ASSET MANAGEMENT,,,,,2499909.63,1117472.81
1051,Etablissement,1-4XH-56838,Visto Group Casaï,88470923.0,,En activité,2014-08-25,Bureau/étude/cabinet,649901,Sociétés d'investissement,,1-2 travailleurs,Visto Group SA,1-4XH-56837,41227325372.0,,,info@visto.group,https://visto.group/,Avenue Louis-CASAÏ,81,1216,Cointrin,Meyrin,930225004657,Avenue Louis-CASAÏ 81,,Visto Group Casaï,,,,,2497183.48,1120229.15
1142,Etablissement,1-4XH-76359,Familac,94379625.0,,En activité,2016-10-20,Activité à domicile,663002,Gestion de fonds,,1-2 travailleurs,Familac SA,1-4XH-76358,41791938594.0,,,vs@familac.ch,,Avenue BLANC,46,1202,Genève,Genève-Petit-Saconnex,930225002440,Avenue BLANC 46,,Familac,,,,,2500465.39,1119710.89
1186,Etablissement,1-4XH-66,ABC Capital Corporation,64549440.0,,En activité,1996-11-04,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,ABC Capital Corporation SA,1-4XH-65,41229010800.0,41794171085.0,,info@abccapital.com,http://www.abccapital.com,Rue du Cendrier,15,1201,Genève,Genève,930225004755,Rue du Cendrier 15,,ABC Capital Corporation,,,,,2500152.36,1118147.3
1204,Etablissement,1-4XH-83356,Corpofina,53078930.0,World Trade Center II,En activité,1979-05-04,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,"Corporate Finance Services, Corpofina SA",1-4XH-83265,41227994450.0,,41227994459.0,corpofina@bluewin.ch,,Route de Pré-Bois,29,1215,Genève,Meyrin,930225023235,Route de Pré-Bois 29,,Corpofina,,,,,2497063.1,1120498.61
1208,Etablissement,1-4XH-8342,Optimal Investment Services,66633388.0,,En activité,2001-06-19,Bureau/étude/cabinet,663002,Gestion de fonds,Recherche financière,1-2 travailleurs,Optimal Investment Services SA,1-4XH-8341,41229097474.0,,,,,Rue PÉCOLAT,8,1201,Genève,Genève,930225045318,Rue PÉCOLAT 8,,Optimal Investment Services,,,,,2500255.05,1118286.52
1211,Etablissement,1-4XH-88984,Probus Pleion Suisse,45998133.0,,En activité,1980-10-13,Bureau/étude/cabinet,663002,Gestion de fonds,,20-49 travailleurs,Probus Pleion Suisse SA,1-4XH-88892,41229068181.0,,,info@pleion.ch,https://www.pleion.ch/,Rue François-BONIVARD,12,1201,Genève,Genève,930225003047,Rue François-BONIVARD 12,,Probus Pleion Suisse,,,,,2500347.62,1118273.7
1227,Etablissement,1-4XH-69263,Atlant,93536174.0,,En activité,2016-04-29,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Atlantis Marcuard SA,1-4XH-69262,41225523800.0,,41225523820.0,services@atlantismarcuard.com,https://atlantismarcuard.com,Rue du Mont-Blanc,4,1201,Genève,Genève,930225019467,Rue du Mont-Blanc 4,,Atlant,,,,,2500339.97,1118136.74
1231,Etablissement,1-4XH-7002,Helvetic Investor Group,65595621.0,,En activité,1999-03-23,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Helvetic Investor Group SA,1-4XH-7001,41223183720.0,,41223183721.0,info@investorgestion.ch,http://www.investorgestion.ch,Place des Philosophes,18,1205,Genève,Genève,930225041663,Place des Philosophes 18,,Helvetic Investor Group,,,,,2500171.16,1116926.06
1166,Etablissement,1-4XH-79324,Nahmani Grunder & Cie,66004687.0,,En activité,2016-06-24,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Nahmani Grunder & Cie AG,1-4XH-79323,41228183030.0,,41228183039.0,info@nahmanigrunder.ch,http://www.nahmanigrunder.ch,Cours de Rive,10,1204,Genève,Genève-Cité,930225024791,Cours de Rive 10,,Nahmani Grunder & Cie,,,,,2500806.21,1117455.83
1296,Etablissement,1-4XH-62760,Weisshorn Asset Management,91638747.0,,En activité,2015-07-10,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,Weisshorn Asset Management SA,1-4XH-62759,41223160330.0,,41223103118.0,info@weisshorn-am.com,https://weisshorn-am.com/,rue des Alpes,7,1201,Genève,Genève-Cité,930225000408,Rue des Alpes 7,,Weisshorn Asset Management,,,,,2500389.04,1118256.34
1337,Etablissement,1-4XH-9273,Ethos Services,66120906.0,,En activité,2000-07-10,Bureau/étude/cabinet,663002,Gestion de fonds,,20-49 travailleurs,ETHOS SERVICES SA,1-4XH-9253,41582018989.0,,,info@ethosfund.ch,http://www.ethosfund.ch,Place de Pont-Rouge,1,1212,Grand-Lancy,Lancy,160317141445,Place de Pont-Rouge 1,,Ethos Services,,,,,2498555.5,1115927.27
1347,Etablissement,1-4XH-97572,Fintrading,53536628.0,,En activité,1990-01-23,Bureau/étude/cabinet,649901,Sociétés d'investissement,,3-5 travailleurs,Fintrading SA,1-4XH-97479,41223178811.0,,,,,Boulevard Emile-JAQUES-DALCROZE,2,1204,Genève,Genève,930225015354,Boulevard Emile-JAQUES-DALCROZE 2,,Fintrading,,,,,2500768.76,1117456.22
1360,Etablissement,1-4XH-83589,Caldea,45926317.0,,En activité,1980-04-11,Bureau/étude/cabinet,649901,Sociétés d'investissement,,,Caldea SA,1-4XH-83588,41227071014.0,,,v.martin@grange.ch,,Chemin de Grange-Canal,21,1208,Genève,Genève,930225013831,Chemin de Grange-Canal 21,,Caldea,,,,,2502478.61,1117406.69
1363,Etablissement,1-4XH-83678,Cotecna,45537545.0,,En activité,1980-04-23,Bureau/étude/cabinet,649901,Sociétés d'investissement,,,Cotecna SA,1-4XH-83587,41228496900.0,,41228496919.0,cotecna.geneva@cotecna.ch,http://www.cotecna.ch,Avenue PESCHIER,41,1206,Genève,Genève,40517153430,Avenue PESCHIER 41,,Cotecna,,,,,2501377.26,1116243.54
1365,Etablissement,1-4XH-83742,Cofimed,53429230.0,,En activité,1981-02-25,Bureau/étude/cabinet,649901,Sociétés d'investissement,,1-2 travailleurs,Compagnie Financière Méditerranée Cofimed SA,1-4XH-83741,41227319713.0,,41227316880.0,admin@cofimed.ch,,Rue du Mont-Blanc,3,1201,Genève,Genève,930225019466,Rue du Mont-Blanc 3,,Cofimed,,,,,2500284.04,1118150.51
1275,Etablissement,1-4XH-73127,Black Oak Family Office,92148593.0,,En activité,2015-10-16,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Black Oak Family Office SA,1-4XH-73126,41223229441.0,41798109550.0,41223229440.0,,http://www.blackoak.ch,rue de la Madeleine,13,1204,Genève,Genève-Cité,930225017078,Rue de la Madeleine 13,,Black Oak Family Office,,,,,2500468.51,1117580.24
1375,Etablissement,1-4XH-89400,EOP & Compagnie,53596543.0,,En activité,1986-05-27,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,EOP & Compagnie SA,1-4XH-89399,41223469802.0,,41223475142.0,contact@eop-cie.org,,Rue Rodolphe-TOEPFFER,11BIS,1206,Genève,Genève-Cité,930225028852,Rue Rodolphe-TOEPFFER 11BIS,,EOP & Compagnie,,,,,2500853.7,1117168.7
1471,Etablissement,1-4XH-84318,Logica,53075725.0,,En activité,1980-03-21,Bureau/étude/cabinet,663002,Gestion de fonds,,,Logica SA,1-4XH-84317,41223382040.0,,41223382049.0,logica1211@bluewin.ch,,Avenue Ernest-PICTET,38,1203,Genève,Genève,930225021835,Avenue Ernest-PICTET 38,,Logica,,,,,2498493.37,1118855.05
1440,Etablissement,1-4XH-93191,Swesant,61822478.0,,En activité,1995-10-09,Bureau/étude/cabinet,649901,Sociétés d'investissement,,1-2 travailleurs,Swesant SA,1-4XH-93190,41227184141.0,41793897822.0,41227184140.0,,,Rue PÉCOLAT,8,1201,Genève,Genève,930225045318,Rue PÉCOLAT 8,,Swesant,,,,,2500255.05,1118286.52
1391,Etablissement,1-4XH-93836,Valartis Advisory Services,64292800.0,,En activité,1996-04-22,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Valartis Advisory Services SA,1-4XH-93835,41227161075.0,,41227161001.0,info@valartisgroup.ch,http://www.valartisgroup.ch,Rue du Rhône,118,1204,Genève,Genève-Cité,930225024552,Rue du Rhône 118,,Valartis Advisory Services,,,,,2500903.98,1117598.34
1392,Etablissement,1-4XH-98893,The Forum Finance Group,62909512.0,,En activité,1994-07-07,Bureau/étude/cabinet,663002,Gestion de fonds,,20-49 travailleurs,The Forum Finance Group SA,1-4XH-98892,41225528300.0,,,ricbour@ffgg.com,http://www.ffgg.com,Rue du Rhône,65,1204,Genève,Genève-Cité,930225024536,Rue du Rhône 65,,The Forum Finance Group,,,,,2500898.2,1117622.24
1396,Etablissement,1-4XH-98989,Parasant,63879519.0,,En activité,1995-07-19,Bureau/étude/cabinet,649901,Sociétés d'investissement,,Sans travailleur,Parasant SA,1-4XH-98988,41227184141.0,,,,,Rue PÉCOLAT,8,1201,Genève,Genève,930225045318,Rue PÉCOLAT 8,,Parasant,,,,,2500255.05,1118286.52
1542,Etablissement,1-1QKAXK,F Capital,96144175.0,,En activité,2017-06-30,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,F Capital SA,1-4XH-74829,41225525221.0,41798121010.0,,lf@fcapital.ch,,Quai du Mont-Blanc,27,1201,Genève,Genève,930225019462,Quai du Mont-Blanc 27,,F Capital,,,,,2500715.36,1118549.44
1557,Etablissement,1-1E9C8Z,FFM Gestion,10244736.0,,En activité,2019-03-14,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,FFM Gestion SA,1-J9517,41227160320.0,,,info@caridab.com,https://www.ffm-gestion.ch/,Quai WILSON,45,1201,Genève,Genève-Cité,930225046753,Quai WILSON 45,,FFM Gestion,,,,,2500716.08,1118854.1
1571,Etablissement,1-1EYC1G,CONSENSUS CAPITAL,99926021.0,,En activité,2019-01-18,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,CONSENSUS CAPITAL SA,1-G8W1A,41794734345.0,,,info@consensus-capital.com,https://www.consensus-capital.com,Route de Suisse,29,1290,Versoix,Versoix,930225046100,Route de Suisse 29,,CONSENSUS CAPITAL,,,,,2502152.75,1125843.75
1590,Etablissement,1-1HNTS4,Epicure Ventures,11444585.0,,En activité,2019-11-21,Bureau/étude/cabinet,649901,Sociétés d'investissement,,3-5 travailleurs,Epicure Ventures SA,1-XLFNS,41791997009.0,41791997005.0,,jean-marc.sbaffo@Sandwich.ch,,Avenue KRIEG,15,1208,Genève,Genève-Eaux-Vives,930225015869,Avenue KRIEG 15,,Epicure Ventures,,,,,2501512.83,1116718.31
1592,Etablissement,1-1HO28O,ESC Advisory & Consulting,10649953.0,,En activité,2019-06-06,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,ESC Advisory & Consulting Sàrl,1-NI4RH,41786105940.0,,,info@esc-advisory-consulting.ch,http://www.esc-advisory&consulting,Route de Frontenex,49,1207,Genève,Genève-Eaux-Vives,930225011893,Route de Frontenex 49,,ESC Advisory & Consulting,,,,,2501606.34,1117565.6
1594,Etablissement,1-1HO2BO,FIDES CAPITAL,96570483.0,,En activité,2017-10-12,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,FIDES CAPITAL SA,1-4XH-74991,41227020949.0,,,info@fides-capital.com,http://www.fides-capital.com,Rue du Conseil-Général,12,1205,Genève,Genève-Cité,930225007664,Rue du Conseil-Général 12,,FIDES CAPITAL,,,,,2499981.99,1117228.95
1604,Etablissement,1-1HOXQH,Providence International,11595938.0,,En activité,2019-12-19,Bureau/étude/cabinet,663002,Gestion de fonds,Family Office,3-5 travailleurs,Providence International AG,1-YXDV4,,,,piotr.augustyniak@pathlaw.ch,,Place de la Synagogue,5,1204,Genève,Genève,930225046164,Place de la Synagogue 5,,Providence International,,,,,2499851.45,1117664.93
1606,Etablissement,1-1HOXVZ,Reposit,97904528.0,,En activité,2018-05-30,Bureau/étude/cabinet,663002,Gestion de fonds,,,Reposit SA,1-4P1VH,,,,,,Rue du Rhône,118,1204,Genève,Genève-Cité,930225024552,Rue du Rhône 118,,Reposit,,,,,2500903.98,1117598.34
1530,Etablissement,1-1FG244,Riviera Investment,74651243.0,,En activité,2010-03-30,Bureau/étude/cabinet,649901,Sociétés d'investissement,"Funky Frames
",1-2 travailleurs,Riviera Investment Sàrl,1-RK0T8,41223407160.0,,,,,Rue VOLTAIRE,30,1201,Genève,Genève-Cité,930225032108,Rue VOLTAIRE 30,,Riviera Investment,,,,,2499446.56,1118263.91
1633,Etablissement,1-4XH-99964,Pramadex,64377794.0,,En activité,1996-10-08,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Pramadex SA,1-4XH-99873,41223190939.0,,41223102340.0,pramadex@bluewin.ch,http://www.pramadex.com,Rue Neuve-du-Molard,8,1204,Genève,Genève,930225020548,Rue Neuve-du-Molard 8,,Pramadex,,,,,2500434.95,1117694.02
1652,Etablissement,1-1HO2RY,HELMS Family Office,10831400.0,,En activité,2019-07-10,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,HELMS Family Office SA,1-OZITZ,41223190939.0,41227564530.0,,info@helmsfo.com,https://helmsfamilyoffice.com/,Rue Neuve-du-Molard,8,1204,Genève,Genève-Cité,930225020548,Rue Neuve-du-Molard 8,,HELMS Family Office,,,,,2500434.95,1117694.02
1663,Etablissement,1-1HUUX2,Zayex,11588747.0,,En activité,2019-12-18,Activité à domicile,649901,Sociétés d'investissement,,,Zayex SA,1-YUKGL,41798744440.0,,,,http://www.zayex.ch, Clos-Belmont,6,1208,Genève,Genève-Eaux-Vives,930225002133,Clos-Belmont 6,,Zayex,,,,,2501710.92,1117268.46
1664,Etablissement,1-1HUV3W,JMD INVEST,11444648.0,,En activité,2019-11-21,Bureau/étude/cabinet,649901,Sociétés d'investissement,,,JMD INVEST SA,1-XLH7C,41792066766.0,,,,,Avenue de Miremont,30,1206,Genève,Genève,930225018945,Avenue de Miremont 30,,JMD INVEST,,,,,2501068.83,1116024.91
1641,Etablissement,1-57O7OC,Ignacio Guaia,19468519.0,,En activité,2024-03-06,Bureau/étude/cabinet,663002,Gestion de fonds,,Sans travailleur,Ignacio Guaia,1-57O7M7,41225206060.0,,,ignacio.guaia@bellcapital.ch,,Avenue Cardinal-MERMILLOD,36,1227,Carouge GE,Carouge,930225004372,Avenue Cardinal-MERMILLOD 36,,Ignacio Guaia,,,,,2499982.75,1115743.16
1642,Etablissement,1-58IV3B,ATINA INVEST,18438240.0,,En activité,2023-08-21,Bureau/étude/cabinet,649901,Sociétés d'investissement,,1-2 travailleurs,ATINA INVEST SA,1-43FCJT,41793063870.0,,,david@atinastone.com,,Route d'Hermance,1,1222,Vésenaz,Collonge-Bellerive,930225014613,Route d'Hermance 1,,ATINA INVEST,,,,,2504297.39,1121710.42
1647,Etablissement,1-1HO2HT,Precious & Associates Family Office,10908791.0,,En activité,2019-07-26,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Precious & Associates Family Office SA,1-QKAE5,41225101228.0,41787771981.0,,info@preciousfo.ch,https://preciousfo.ch/,Rue du Mont-Blanc,4,1201,Genève,Genève-Cité,930225019467,Rue du Mont-Blanc 4,,Precious & Associates Family Office,,,,,2500339.97,1118136.74
1648,Etablissement,1-1HO2JB,GAMA Asset Management,11276179.0,,En activité,2019-10-16,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,GAMA Asset Management SA,1-UTLJ6,41223180033.0,41797072264.0,,info@gama-am.ch,,Rue de la Pélisserie,16,1204,Genève,Genève-Cité,930225021149,Rue de la Pélisserie 16,,GAMA Asset Management,,,,,2500226.23,1117597.25
1800,Etablissement,1-1H0LY2,HCF,10694605.0,,En activité,2020-07-13,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,HCF SA,1-NTO7R,41227327210.0,,,info@hcfsa.ch,http://www.hcfsa.ch,Rue Philippe-PLANTAMOUR,6,1201,Genève,Genève-Cité,930225022468,Rue Philippe-PLANTAMOUR 6,,HCF,,,,,2500457.3,1118372.43
1805,Etablissement,1-1ELK5O,International Services Corporation,72658403.0,,En activité,2012-12-31,Bureau/étude/cabinet,649901,Sociétés d'investissement,,Sans travailleur,International Services Corporation SA,1-1ELK2F,41786543470.0,,,contact@isclt.com,,Rue KLÉBERG,14,1201,Genève,Genève-Cité,930225015858,Rue KLÉBERG 14,,International Services Corporation,,,,,2500235.8,1118150.5
1835,Etablissement,1-1HO68Z,Isla Capital Management,93659488.0,,En activité,2016-05-25,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Isla Capital Management SA,1-4XH-67783,41225561126.0,,,info@islacap.com,http://www.islacap.com,Route de Thonon,61,1222,Vésenaz,Collonge-Bellerive,71024161920,Route de Thonon 61,,Isla Capital Management,,,,,2504411.04,1121805.12
