,OBJECTID,TYPE_REG,ID_ETABLISSEMENT,NOM,UNITE_LOCALE,COMPLEMENT_LOCALI,STATUT_REG,IMMAT_DT,TYPE_LOCAL,CODE_NOGA,BRANCHE,ACTIVITE_DETAIL,TAILLE,RAISON_SOC_PARENT,ID_ENTREPRISE,TEL_PRINCIPAL,TEL_SECONDAIRE,FAX,EMAIL,SITE_INTERNET,PHYS_RUE,PHYS_NUMRUE,PHYS_NPA,PHYS_LOCALITE,PHYS_COMMUNE,IDPADR,ADRESSE,NUM_IDE,RAISON_SOCIALE,NATURE_JURID,SIEGE_CANTON,SIEGE_PAYS,SOUS_TYPE,E,N
2441,3318,Etablissement,1-114VJR,Abeloo,99376652.0,,En activité,2018-09-29,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Abeloo SA,1-AMW3J,41227079292.0,,,hello@abeloo.swiss,https://abeloo.swiss,Rue François-VERSONNEX,7,1207,Genève,Genève-Cité,930225030549,Rue François-VERSONNEX 7,,Abeloo,,,,,2500933.47,1117660.94
2573,3352,Etablissement,1-1XTZII,Stork Capital,11205796.0,,En activité,2019-10-01,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Stork Capital Sàrl,1-U42I0,41223105454.0,41788220004.0,,yves.gloor@storkcapital.com,https://www.storkcapital.com/,Quai de l'Ile,15,1204,Genève,Genève-Cité,930225015262,Quai de l'Ile 15,,Stork Capital,,,,,2500069.76,1117892.25
2580,3573,Etablissement,1-2COA05,TBH Global Family Office,12919602.0,,En activité,2020-09-16,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,TBH Global Family Office SA,1-1MAQV8,41225126020.0,,,info@tbh-gfo.com,https://tbh-gfo.com,Rue Pedro-MEYLAN,1,1208,Genève,Genève-Eaux-Vives,930225018617,Rue Pedro-MEYLAN 1,,TBH Global Family Office,,,,,2501584.52,1116810.2
2756,3391,Etablissement,1-2G494K,ATHENEE INVESTMENT,11500674.0,,En activité,2019-12-06,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,ATHENEE INVESTMENT SA,1-Y8VLS,41225526680.0,,,info@athenee-investment.com,https://www.athenee-investment.com/,Quai des Bergues,23,1201,Genève,Genève-Cité,930225002213,Quai des Bergues 23,,ATHENEE INVESTMENT,,,,,2500169.65,1118035.8
2967,1937,Etablissement,1-1457K2,D&S Capital Management,99458273.0,,En activité,2017-02-28,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,D&S Capital Management SA,1-B3C4I,41223293327.0,,,pascale.deville@ds-wm.com,,Rue Adrien-LACHENAL,20,1207,Genève,Genève-Cité,930225015934,Rue Adrien-LACHENAL 20,,D&S Capital Management,,,,,2500994.17,1117299.4
3048,1969,Etablissement,1-1ABV6X,CHF Capital,97160786.0,,En activité,2018-02-14,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,CHF Capital SA,1-4XH-85611,41225525380.0,,,info@chfcapital.ch,https://chfcapital.ch,Quai Gustave-ADOR,20,1207,Genève,Genève-Eaux-Vives,930225000091,Quai Gustave-ADOR 20,,CHF Capital,,,,,2501125.66,1117907.4
3104,1976,Etablissement,1-1AGSHY,Providenzia Wealth Management,96201734.0,,En activité,2017-07-17,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Providenzia Wealth Management SA,1-4XH-74710,41229895561.0,41792039426.0,,info@providenziawm.ch,http://www.providenziawm.ch, Grand-Rue,11,1204,Genève,Genève-Cité,930225013612,Grand-Rue 11,,Providenzia Wealth Management,,,,,2500156.24,1117584.74
3181,2253,Etablissement,1-1G4CJ1,HCP Asset Management,94393661.0,,En activité,2017-05-31,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,HCP Asset Management SA,1-1G4CD0,,,,contact@hcp.ch,http://www.hcp.ch,Rue du Vieux-Collège,10,1204,Genève,Genève-Cité,930225031195,Rue du Vieux-Collège 10,,HCP Asset Management,,,,,2500620.2,1117495.36
3195,2267,Etablissement,1-1EVV2S,Prosperitas Asset Management,99393265.0,,En activité,2018-10-04,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Prosperitas Asset Management SA,1-AQR0N,41227521122.0,,,,,Rue de la Pélisserie,18,1204,Genève,Genève-Cité,930225021151,Rue de la Pélisserie 18,,Prosperitas Asset Management,,,,,2500224.5,1117578.98
3360,2879,Etablissement,1-4XH-90318,Kessler Gestion,53505394.0,,En activité,1986-03-12,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Kessler Gestion SA,1-4XH-90317,41223115320.0,,41223102094.0,,http://www.kesslergestion.ch,Place de Longemalle,19,1204,Genève,Genève,930225016783,Place de Longemalle 19,,Kessler Gestion,,,,,2500540.38,1117625.85
3383,2307,Etablissement,1-1HOP3F,Swiss Crypto Advisors,96941256.0,,En activité,2018-01-17,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,3-5 travailleurs,Swiss Crypto Advisors SA,1-4XH-85963,41225505993.0,,,contact@swisscryptoadvisors.ch,https://www.swisscryptoadvisors.ch,Place de la Fusterie,12,1204,Genève,Genève-Cité,930225011992,Place de la Fusterie 12,,Swiss Crypto Advisors,,,,,2500201.82,1117768.05
3434,2060,Etablissement,1-1HOFKH,NewOak,11628043.0,,En activité,2020-01-02,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,NewOak SA,1-Z2OHK,41225770770.0,,,contact@newoak.ch,https://www.newoak.ch/,Boulevard Georges-FAVON,28,1204,Genève,Genève-Cité,930225042159,Boulevard Georges-FAVON 28,,NewOak,,,,,2499768.64,1117568.95
3439,2065,Etablissement,1-1HOFST,OMEGA WEALTH MANAGEMENT,99622821.0,,En activité,2018-11-16,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,OMEGA WEALTH MANAGEMENT SA,1-CUZT6,41228843393.0,,,info@omega.wm.com,https://omega-wm.com,Rue du Rhône,42,1204,Genève,Genève-Cité,930225024526,Rue du Rhône 42,,OMEGA WEALTH MANAGEMENT,,,,,2500309.63,1117797.67
3442,2068,Etablissement,1-1HOJXI,Columbus Private,10541166.0,,En activité,2019-05-14,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Columbus Private (Suisse) SA,1-M63KI,41225962256.0,,,piotr.augustyniak@pathsuisse.ch,http://www.pathsuisse.ch,Place de la Synagogue,5,1204,Genève,Genève,930225046164,Place de la Synagogue 5,,Columbus Private,,,,,2499851.45,1117664.93
3572,2356,Etablissement,1-14QOEU,Mt Fort Advisers,99708075.0,,En activité,2018-11-29,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Mt Fort Advisers SA,1-DK5F6,41225681001.0,,,contact@mtfortadvisers.com,https://mtfortadvisers.com,Rue de la Cité,1,1204,Genève,Genève-Cité,930225006787,Rue de la Cité 1,,Mt Fort Advisers,,,,,2500065.62,1117737.47
3579,2363,Etablissement,1-1HOTOH,WM Capital,96138627.0,,En activité,2017-06-29,Bureau/étude/cabinet,663002,Gestion de fonds,,Sans travailleur,WM Capital SA,1-4XH-74728,41795290360.0,,,maria@wmcapital.ch,,Rue Rodolphe-TOEPFFER,8,1206,Genève,Genève-Cité,930225028848,Rue Rodolphe-TOEPFFER 8,,WM Capital,,,,,2500820.1,1117143.51
3648,2382,Etablissement,1-1AARHD,J. Safra Sarasin Asset Management,96941240.0,,En activité,2018-01-17,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,J. Safra Sarasin Asset Management (North America) SA,1-4XH-85869,41583176400.0,41583175555.0,41583175500.0,jssamna@jsafrasarasin.com,http://northamerica.jsafrasarasin.com,Rue de la Corraterie,4,1204,Genève,Genève-Cité,930225007921,Rue de la Corraterie 4,,J. Safra Sarasin Asset Management,,,,,2499978.75,1117772.51
3650,2384,Etablissement,1-1AARMW,Efficient Frontier Investing,99362686.0,,En activité,2018-09-26,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Efficient Frontier Investing SA,1-A8PZW,41225561126.0,,,info@efrontier.ch,http://efrontier.ch,Rue du Marché,3,1204,Genève,Genève-Cité,930225017932,Rue du Marché 3,,Efficient Frontier Investing,,,,,2500241.38,1117711.12
3690,2125,Etablissement,1-1A3SWW,Phoenix Finance,11992941.0,,En activité,2020-03-16,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Phoenix Finance SA,1-4XH-29799,41217811396.0,,,info@phoenixfinancesa.com,http://www.phoenixfinancesa.com,Rue du Mont-Blanc,4,1201,Genève,Genève-Cité,930225019467,Rue du Mont-Blanc 4,,Phoenix Finance,,,,,2500339.97,1118136.74
3703,2389,Etablissement,1-1ABEH6,OakHill Asset Management,73526678.0,,En activité,2010-02-26,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,OakHill Asset Management SA,1-V0NV2,41223100084.0,41793457708.0,,info@oakhill-am.com,http://www.oakhill-am.com,Rue Verdaine,11,1204,Genève,Genève-Cité,930225030179,Rue Verdaine 11,,OakHill Asset Management,,,,,2500545.42,1117461.01
3746,1882,Etablissement,1-1HOFEN,Merion Swiss Partners,85232091.0,,En activité,2013-11-11,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Merion Swiss Partners Sàrl,1-4XH-48214,41225668755.0,,,info@merion.swiss,http://www.merion.swiss,Rue du Marché,3,1204,Genève,Genève-Cité,930225017932,Rue du Marché 3,,Merion Swiss Partners,,,,,2500241.38,1117711.12
3759,2145,Etablissement,1-12TZC2,NextGen Capital,99573698.0,,En activité,2018-11-07,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,NextGen Capital SA,1-CA12I,41225753175.0,,,info@nextgen-capital.com,http://www.nextgen-capital.com,Rue De-CANDOLLE,24,1205,Genève,Genève-Cité,930225004147,Rue De-CANDOLLE 24,,NextGen Capital,,,,,2500180.7,1117073.16
3777,2415,Etablissement,1-14TQ4R,Samarkand Capital,99783224.0,,En activité,2018-12-13,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,1-2 travailleurs,Samarkand Capital Sàrl,1-E6CRE,41228188000.0,,,contact@samarkandcapital.com,https://www.samarkandcapital.com,Rue de la Fontaine,5,1204,Genève,Genève,930225011311,Rue de la Fontaine 5,,Samarkand Capital,,,,,2500530.74,1117524.86
3862,2706,Etablissement,1-4XH-99351,Apricus Finance,63677648.0,,En activité,1995-05-15,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,Apricus Finance SA,1-4XH-99260,41223178840.0,,41223178850.0,apricus@apricus.ch,http://www.apricus-finance.com,Rue du Rhône,30,1204,Genève,Genève,930225024521,Rue du Rhône 30,,Apricus Finance,,,,,2500216.06,1117824.96
4010,5778,Etablissement,1-2QYQDL,Alpha Blue Sky Management,15542638.0,,En activité,2022-02-10,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,1-2 travailleurs,Alpha Blue Sky Management SA,1-2KIWY8,41225920909.0,,,info@alphablueskymanagement.ch,https://alphablueskymanagement.ch,Rue de Lyon,77,1203,Genève,Genève-Petit-Saconnex,150827142546,Rue de Lyon 77,,Alpha Blue Sky Management,,,,,2498672.06,1118275.18
4049,5516,Etablissement,1-2QYL1C,Valoram,14963410.0,,En activité,2021-10-20,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,1-2 travailleurs,Valoram SA,1-2CSFPD,41228091000.0,,,contact@valoram.ch,,Rue François-BONIVARD,6,1201,Genève,Genève-Cité,930225003044,Rue François-BONIVARD 6,,Valoram,,,,,2500321.29,1118226.83
4064,5781,Etablissement,1-2QYSTG,AURBIS CAPITAL,14498679.0,,En activité,2021-07-06,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,AURBIS CAPITAL SA,1-26AC1V,41782102878.0,,,administrator@aurbiscapital.com,https://www.aurbiscapital.com,Place de la Fusterie,12,1204,Genève,Genève-Cité,930225011992,Place de la Fusterie 12,,AURBIS CAPITAL,,,,,2500201.82,1117768.05
4166,5315,Etablissement,1-2QYKES,Ava Investors,14847851.0,,En activité,2021-09-24,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,10-19 travailleurs,Ava Investors SA,1-2B1WQK,41798933976.0,,,ava@ava-investors.com,https://ava-investors.com,Rue du Rhône,78,1204,Genève,Genève-Cité,930225024539,Rue du Rhône 78,,Ava Investors,,,,,2500479.2,1117737.91
4225,5094,Etablissement,1-297TEB,Noga Capital Partners,11079290.0,,En activité,2021-08-23,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Noga Capital Partners SA,1-RVQ5X,41228072400.0,,,sophie.bouchet@gpfiduciaire.ch,,Place du Molard,5,1204,Genève,Genève-Cité,930225019069,Place du Molard 5,,Noga Capital Partners,,,,,2500394.16,1117720.92
4303,5355,Etablissement,1-3IS90A,Alston Capital,96531615.0,,En activité,2017-10-03,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite","toutes activités de conseil en matière d'investissement ainsi que l'acquisition, financement, administration, courtage",3-5 travailleurs,Alston Capital Sàrl,1-4XH-74699,41799230032.0,41223222290.0,,info@alstoncapital.ch,https://alstoncapital.ch,Rue du Prince,11,1204,Genève,Genève-Cité,930225045626,Rue du Prince 11,,Alston Capital,,,,,2500609.69,1117598.75
4337,5968,Etablissement,1-2MNO7S,Agence Suisse Du Patrimoine,12257319.0,,En activité,2020-05-13,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Agence Suisse Du Patrimoine SA,1-1DX1UR,41223475045.0,,,asdp@asdp.ch,,Rue Rodolphe-TOEPFFER,8,1206,Genève,Genève-Cité,930225028848,Rue Rodolphe-TOEPFFER 8,,Agence Suisse Du Patrimoine,,,,,2500820.1,1117143.51
4629,5195,Etablissement,1-1Y62H5,Baseline Wealth Management,77730915.0,,En activité,2011-05-31,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,Baseline Wealth Management SA,1-1Y62AU,41581057620.0,,,info@baselinewealth.com,https://baselinewealth.com,Rue du Rhône,67,1207,Genève,Genève-Cité,930225024537,Rue du Rhône 67,,Baseline Wealth Management,,,,,2500963.85,1117601.42
4736,5839,Etablissement,1-2QYTEL,Z Impact Ventures,15813728.0,,En activité,2022-04-01,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Z Impact Ventures SA,1-2O101C,41793362879.0,,,info@zebraventures.ch,https://zebraventures.ch/,Boulevard James-FAZY,8,1201,Genève,Genève-Cité,930225010785,Boulevard James-FAZY 8,,Z Impact Ventures,,,,,2499772.41,1118143.49
5551,4656,Etablissement,1-1YCVK1,Primis Investment,11485335.0,,En activité,2021-03-08,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Primis Investment (Suisse) SA,1-Y85XV,41225706080.0,,,info@primis.swiss,http://www.primis.swiss,Rue Jacques-BALMAT,5,1204,Genève,Genève-Cité,930225001425,Rue Jacques-BALMAT 5,,Primis Investment,,,,,2499926.7,1117328.97
